"StateAbbr","TractFIPS","TotalPop18plus","BINGE_CrudePrev","CSMOKING_CrudePrev","LPA_CrudePrev","BPHIGH_CrudePrev","HIGHCHOL_CrudePrev","DIABETES_CrudePrev","OBESITY_CrudePrev","STROKE_CrudePrev"
"CT","09110510400","4,203","13.9","16.3","37.7","37.6","37.5","16.0","41.9","4.1"
"CT","09110510500","2,517","14.8","9.8","26.3","31.8","36.9","11.5","33.1","3.0"
"CT","09110510600","3,708","12.3","21.3","44.8","41.3","39.8","19.2","44.5","5.3"
"CT","09110510700","3,814","14.5","13.9","31.6","35.5","39.6","13.5","36.4","3.7"
"CT","09110510800","2,508","14.5","13.1","30.5","35.3","40.2","12.9","34.5","3.7"
"CT","09110510900","2,984","15.4","10.6","25.6","33.9","40.2","11.5","32.3","3.3"
"CT","09110511000","2,913","15.0","11.0","26.6","34.0","40.4","11.3","31.3","3.3"
"CT","09110511100","2,992","15.1","11.6","27.0","34.2","40.0","12.1","33.0","3.4"
"CT","09110511200","2,544","14.3","15.0","34.6","34.7","37.2","13.9","38.4","3.7"
"CT","09110511300","2,688","13.0","19.7","41.4","39.2","38.5","17.4","43.2","4.7"
"CT","09110511400","1,978","14.2","11.2","27.6","35.5","41.0","12.7","32.4","3.5"
"CT","09110514101","2,611","14.0","9.5","23.3","35.4","43.0","11.4","29.2","3.5"
"CT","09110514103","3,410","17.6","7.4","18.6","19.9","29.4","5.9","24.6","1.4"
"CT","09110514104","3,376","14.8","9.9","24.3","28.9","35.5","9.7","29.9","2.6"
"CT","09110514200","2,650","15.4","13.6","28.7","33.3","38.6","11.9","34.5","3.4"
"CT","09110514300","3,395","16.8","10.7","23.2","30.2","37.5","9.6","31.4","2.7"
"CT","09110514400","3,864","16.3","14.5","29.3","32.1","36.6","11.4","35.9","3.1"
"CT","09110514500","3,589","15.4","12.7","27.5","32.6","38.7","11.6","33.0","3.3"
"CT","09110514600","4,198","14.3","15.9","34.0","36.8","39.1","13.9","37.2","4.3"
"CT","09110514700","3,574","16.5","16.4","31.7","31.0","35.2","11.5","36.5","3.2"
"CT","09110514800","2,591","15.3","16.5","32.6","33.4","36.7","12.7","38.3","3.5"
"CT","09110514900","2,392","17.1","10.0","21.2","30.8","39.1","9.6","30.5","2.8"
"CT","09110515000","2,375","16.0","9.3","21.0","32.4","41.0","10.0","29.3","2.9"
"CT","09110515101","2,100","15.1","9.2","23.2","34.0","41.1","10.6","29.0","3.4"
"CT","09110515102","4,575","14.2","9.4","23.3","31.7","39.2","10.6","29.4","2.9"
"CT","09110515200","2,908","14.9","9.4","22.2","35.6","43.0","11.3","29.9","3.4"
